plage_largeur,plage_hauteur,prix
0-100,0-250,64
0-100,250-350,80
0-100,351-500,64
101-200,0-250,64
101-200,250-350,80
101-200,351-500,72
201-300,0-250,80
201-300,250-350,80
201-300,351-500,88
301-350,0-250,80
301-350,250-350,96
301-350,351-500,104
351-400,0-250,96
351-400,250-350,112
351-400,351-500,120
401-500,0-250,112
401-500,250-350,128
401-500,351-500,136
501-650,0-250,72
501-650,250-350,80
501-650,351-500,96
